ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 1 default","Attribute 2 default"
299,variable,,"Mac's River Runner (Prop Saver)",1,0,visible,"This is the only protection your prop and skeg will ever need!
\n</ul>",,,taxable,,1,,,0,0,907,,,,1,,,,"Stryker Inflatable Boat Accessories > Parts, Stryker Inflatable Boat Accessories",,,https://strykerboats.com/wp-content/uploads/2021/02/Repair_Kit_and_Valve_Key-1.jpg,,,,,,,,,66,color,"Blacked Out, Hunter Green, Rescue Red, Storm Grey",1,1,,,,,,,,,,,,,,,,,,,
301,simple,PUMPF,"High Pressure Foot Pump",1,0,visible,"<ul>
\n 	<li>Easy to use</li>
\n 	<li>Halkey Robert's adapter included</li>
\n 	<li>Foot operated pump</li>
\n 	<li>Includes hose</li>
\n 	<li>Up to 4 PSI</li>
\n</ul>","<ul>
\n 	<li>Easy to use</li>
\n 	<li>Halkey Robert's adapter included</li>
\n 	<li>Foot operated pump</li>
\n 	<li>Includes hose</li>
\n 	<li>Up to 4 PSI</li>
\n</ul>",,,taxable,,1,,,0,0,4536,,,,1,,,50,"Stryker Inflatable Boat Accessories > Pumps, Stryker Inflatable Boat Accessories",,,https://strykerboats.com/wp-content/uploads/2021/02/High_Pressure_Foot_Pump-1.jpg,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,
302,simple,SC341,"Scotty Glue-On Pad For Inflatable Boats Black",1,0,visible,"<ul class=""a-unordered-list a-vertical a-spacing-none"">
\n 	<li>Size: 5""w x 7""h</li>
\n 	<li>Scotty Glue-On Pad For Inflatable Boats Black</li>
\n 	<li>Manufactured from flexible PVC and can be bonded to PVC or Hyperon inflatable boats</li>
\n</ul>","<ul class=""a-unordered-list a-vertical a-spacing-none"">
\n 	<li>Size: 5""w x 7""h</li>
\n 	<li>Scotty Glue-On Pad For Inflatable Boats Black</li>
\n 	<li>Manufactured from flexible PVC and can be bonded to PVC or Hyperon inflatable boats</li>
\n</ul>",,,taxable,,1,,,0,0,1361,,,,1,,,20,"Accessories > HD380 Accessories, Accessories > HD420 Accessories, Accessories > LX250 LX270 Accessories, Accessories > LX320 Accessories, Accessories > LX360 LX380 LX420 Accessories, Accessories > PRO320 Accessories, Accessories > PRO380 PRO420 PRO500 Accessories, Accessories > RIB230 RIB250 RIB270 Accessories, Accessories > RIB320 Accessories, Accessories > RIB380 Accessories, Accessories > RIB420 Accessories, Accessories > RIB450 RIB500 RIB520, Stryker Inflatable Boat Accessories > Scotty, Stryker Inflatable Boat Accessories",,,https://strykerboats.com/wp-content/uploads/2021/02/Scotty_accessory_mount_grande.jpg,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
303,variable,,"Stryker LX 270 (8’ 9”) Inflatable Boat",1,0,visible,"The Stryker LX 270 was introduced in 2019 by popular demand. This boat offers 16” tubes like the Stryker LX 320, but in the size that is still suitable as a yacht tender for most customers. The ability to pair this inflatable boat with a 9.9hp outboard is a key feature.
\n
\n*EVA floors for LX models available for extra cost, please call to order","<h3><strong>Stryker LX 270 Overview:</strong></h3>
\nThe Stryker LX 270 was introduced in 2019 by popular demand. This boat offers 16” tubes like the Stryker LX 320, but in the size that is still suitable as a yacht tender and also for recreational use with your rv or fishing on your favourite lake for the day.
\n<h3><strong>Material &amp; Construction:</strong></h3>
\nThe Stryker LX 270 comes with the additional bottom protection of 1.2mm fabric with our signature <em>Stryker Shield®</em> hull protection. <em>Stryker Shield</em>® is an 8” wide corrugated rubber strip that protects the bottom of the tubes and keel.   Stryker Inflatable Boats are constructed with the highest grade imported German Mehler PVC using the latest thermowelding technology.  Thermowelding is a process using heat welding that bonds the material together that creates superior strength and durability over the traditional 4 layer overlapping seam technology used by most companies.
\n
\nOur signature LX line features 5 <a href=""https://strykerboats.com/product/scotty-glue-on-pad-for-inflatable-boats-black/"" target=""_blank"" rel=""noopener"">Scotty® bases</a> pre-installed at time of manufacturing to plug and play up to 30 different <a href=""https://strykerboats.com/product-category/stryker-inflatable-boat-accessories/scotty/"" target=""_blank"" rel=""noopener"">Scotty® accessories</a> for all your fishing adventures.
\n
\nThe LX 270 inflatable boat features a 15” heavy duty 1 piece reinforced aluminum transom.  The Stryker fully welded aluminum transom removes the most common failure point (wood and plastic 3 piece transoms) found on all other inflatable boats on the market.  The 15"" transom gives you the ability to add a short shaft prop outboard motor.
\n
\nThis vessel offers 4 Air Chambers, 1139lbs weight capacity and maximum 4 person capacity.  Stryker Inflatable Boats are constructed with a heavy duty interlocking aluminum floor system with side stringers or a high pressure air floor constructed from a specially designed drop-stitched PVC fabric.
\n<h3><strong>Motor Recommendation for the Stryker LX 270:</strong></h3>
\n9.9HP short shaft prop outboard, electric motor, or use the oars to row to shore.  This is the perfect setup for 1-2 people and your gear.
\n<h3><strong>Included:</strong></h3>
\nEvery boat comes fully equipped with military grade wrap around life line, multiple heavy duty D-ring systems installed throughout,  fuel tank/battery box tie down, heavy duty transom motor mount, towing eyes on bow, with heavy duty D-handle for use with <a href=""https://strykerboats.com/product/stryker-launching-wheels-standard/"" target=""_blank"" rel=""noopener"">Stryker launching wheel system</a>.
\n
\nIncluded in your package: one set of <a href=""https://strykerboats.com/product/stryker-oar-kit/"" target=""_blank"" rel=""noopener"">oars</a>, double <a href=""https://strykerboats.com/product/aluminum-bench-seats/"" target=""_blank"" rel=""noopener"">aluminum seats</a>, 1680 denier <a href=""https://strykerboats.com/product/stryker-easy-load-boat-bag/"" target=""_blank"" rel=""noopener"">boat bag</a>, floor bag, <a href=""https://strykerboats.com/product/stryker-bow-bag/"" target=""_blank"" rel=""noopener"">bow bag</a>, <a href=""https://strykerboats.com/product/stryker-smart-cargo-bag-bench-cushion/"" target=""_blank"" rel=""noopener"">smart cargo bag bench cushion</a>, <a href=""https://strykerboats.com/product/repair-kit5x6/"" target=""_blank"" rel=""noopener"">repair kit</a> and <a href=""https://strykerboats.com/product/high-pressure-foot-pump/"" target=""_blank"" rel=""noopener"">foot pump</a>.
\n
\nThis Stryker Inflatable Boat package comes in 2 bags, 1 for your boat and 1 for your aluminum floor system.
\n<ul>
\n 	<li>Dimensions of Boat in Bag: 43 x 22 x 12""</li>
\n 	<li>Dimensions of Aluminum Floor in Bag: 36 x 24 x 4""</li>
\n</ul>
\nAvailable in Storm Grey or Rescue Red.  Aluminum Floor or Air Floor options.
\n
\n<a href=""https://strykerboats.com/warranty/"" target=""_blank"" rel=""noopener"">Stryker Boats 5 year manufacturer warranty.</a>",,,taxable,,1,,,0,0,57606,,,,1,,,,"Boats, Boats > Stryker LX Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2019/04/Website-Cover-Photo-LX-270-1-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-2.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-3.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-4.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-5-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-6-1.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-8.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-9.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-10.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-11.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-12.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-13.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-16.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-17.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-18.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-19.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-20.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-21.jpg, https://strykerboats.com/wp-content/uploads/2019/04/LX-270-6-scaled.jpg",,,,,"id:347, id:348, id:1853",,,,99,color,"Rescue Red, Rescue Red (2023), Storm Grey, Storm Grey (2023)",1,1,flooring,"Aluminum, HP Airmat (Storm Grey Only)",1,1,,,,,,,,,,,,,,"Storm Grey",
305,variable,,"Stryker PRO 320 (10’ 5”) Inflatable Boat",1,0,visible,"The Stryker PRO 320 inflatable boat comes with the added protection of 1.8mm wrapped with our Stryker Shield® under the entire bottom of the boat. There is no other comparable boat on the market today. We add a 20” transom for the ability to add a JET outboard for extreme shallow water use. Please note: this model requires a 20” shaft outboard (long shaft). This is the perfect inflatable boat for 2 adventure seekers paired with a 9.8HP long shaft outboard.","<h3><strong>Stryker PRO 320 Overview:</strong></h3>
\nThe Stryker PRO 320 is the smallest inflatable boat  that comes with the added protection of 1.8mm wrapped with our Stryker Shield® under the entire bottom of the boat. There is no other comparable boat on the market today. We add a 20” transom for the ability to add a JET outboard for extreme shallow water use or a long shaft prop motor.  This blow up boat is perfect for 1-2 people plus gear.
\n<h3><strong>Material &amp; Construction:</strong></h3>
\nOur exclusive PRO line features 7 <a href=""https://strykerboats.com/product/scotty-glue-on-pad-for-inflatable-boats-black/"" target=""_blank"" rel=""noopener"">Scotty® bases</a> pre-installed at time of manufacturing to plug and play up to 30 different <a href=""https://strykerboats.com/product-category/stryker-inflatable-boat-accessories/scotty/"" target=""_blank"" rel=""noopener"">Scotty® accessories</a> for all your fishing adventures.
\n
\nStryker Inflatable Boats are constructed with an imported high grade German Mehler PVC using the latest thermowelding technology.  Thermowelding is a process involving heat welded together that adds superior strength and durability.
\n
\nThe Stryker fully welded aluminum transom removes the most common failure point (wood and plastic 3 piece transoms) found on all other inflatable boats on the market.  The 20"" transom gives you the ability to add a JET outboard for extreme shallow water use or a long shaft prop outboard motor.   This is the most versatile inflatable boat for 2 adventure seekers paired with a 9.9HP long shaft outboard.
\n
\n6 Air Chambers, 2054lbs weight capacity, maximum 5 people. Heavy duty interlocking aluminum floor system with side stringers.
\n<h3><strong>Motor Recommendation for the Stryker PRO 320:</strong></h3>
\nPlease note: this model requires a 20” prop motor.
\n<h3><strong>Included:</strong></h3>
\nComes fully equipped with military grade wrap around life line and interior grab lines, multiple heavy duty D-ring systems installed throughout,  fuel tank/battery box tie down, heavy duty transom motor mount, towing eyes on bow, with heavy duty D-handle for use with <a href=""https://strykerboats.com/product/stryker-launching-wheels-standard/"" target=""_blank"" rel=""noopener"">Stryker launching wheel system</a>.
\n
\nIncluded in your package: single set of <a href=""https://strykerboats.com/product/stryker-oar-kit/"" target=""_blank"" rel=""noopener"">oars</a>, double set of <a href=""https://strykerboats.com/product/aluminum-bench-seats/"" target=""_blank"" rel=""noopener"">aluminum seats</a>, 1680 denier <a href=""https://strykerboats.com/product/stryker-easy-load-boat-bag/"" target=""_blank"" rel=""noopener"">boat bag</a>, floor bag, <a href=""https://strykerboats.com/product/stryker-bow-bag/"" target=""_blank"" rel=""noopener"">bow bag</a>, <a href=""https://strykerboats.com/product/essentials-bag/"" target=""_blank"" rel=""noopener"">essential bag</a>, <a href=""https://strykerboats.com/product/stryker-smart-cargo-bag-bench-cushion/"" target=""_blank"" rel=""noopener"">smart cargo bag bench cushion</a>, <a href=""https://strykerboats.com/product/repair-kit5x6/"" target=""_blank"" rel=""noopener"">repair kit</a> and <a href=""https://strykerboats.com/product/high-pressure-foot-pump/"" target=""_blank"" rel=""noopener"">foot pump</a>.  As an added bonus, a <a href=""https://strykerboats.com/product/stryker-sunshade-bimini/"" target=""_blank"" rel=""noopener"">sun shade bimini top,</a> 2 <a href=""https://strykerboats.com/product/scotty-bait-caster-rod-holder-w-mount/"" target=""_blank"" rel=""noopener"">Scotty® baitcasters</a> fishing rod holders.
\n
\nThis Stryker Inflatable Boat package comes in 2 bags, 1 for your boat and 1 for your aluminum floor system.
\n<ul>
\n 	<li>Dimensions of Boat in Bag: 44 x 28 x 14""</li>
\n 	<li>Dimensions of Aluminum Floor in Bag: 43 x 25 x 4""</li>
\n</ul>
\nThis inflatable boat is commonly paired and recommended with our <a href=""https://strykerboats.com/product/boat-trailer-soft-hull-stryker-edition/"" target=""_blank"" rel=""noopener"">custom Road Runner Stryker Boat Trailer</a> and various console options.  Available in Storm Grey.
\n
\n<a href=""https://strykerboats.com/warranty/"" target=""_blank"" rel=""noopener"">Stryker Boats 5 year manufacturer warranty</a>.",,,taxable,,1,,,0,0,121109,,,,1,,,,"Boats > Stryker PRO Inflatable Boats, Uncategorized",,,"https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8681-2a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8710-5a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8726-7a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8744-10a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8746-11a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8749-12a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8753-15a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8759-17a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8792-24a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO320-DSCF8808-30a.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-17.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-19.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-20.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-21.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-22.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-23.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-24.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-26.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-27.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-28.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-30.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-41.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-42.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-43.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-44.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-320-RED-48.jpg",,,,,"id:347, id:348, id:1853",,,,108,color,"Blacked Out, Rescue Red, Storm Grey",1,1,flooring,"Airmat, Grey EVA, Tan EVA",1,1,,,,,,,,,,,,,,,
306,variable,,"Stryker PRO 500 (16’ 4”) Inflatable Boat",1,0,visible,"Introducing the Stryker PRO 500 inflatable boat (the largest roll up in our line to date! This inflatable boat comes with the added protection of 1.8mm wrapped with our Stryker Shield® under the entire bottom of the boat. Since it’s launch in 2018, it has quickly become one of the most popular boats we have sold. We add a 20” transom for the ability to add a JET outboard for extreme shallow water use. Please note: this model requires a 20” prop motor. This is the perfect inflatable boat for a large group of adventure seekers paired with a 50HP long shaft(prop) outboard or a 35-40HP JET. This inflatable boat is commonly paired with a Stryker Boat Trailer and various console options.","<h3><strong>Stryker PRO 500 Overview:</strong></h3>
\nIntroducing the Stryker PRO 500 inflatable boat our largest roll up in our line to date. This inflatable boat comes with the added protection of 1.8mm wrapped with our Stryker Shield® hull protection under the entire bottom of the boat. Stryker Inflatable Boats are constructed with an imported high grade German Mehler PVC using the latest thermowelding technology.  Thermowelding is a process involving heat welded together that adds superior strength and durability.
\n<h3><strong>Material &amp; Construction:</strong></h3>
\nOur exclusive PRO  line features 7 <a href=""https://strykerboats.com/product/scotty-glue-on-pad-for-inflatable-boats-black/"" target=""_blank"" rel=""noopener"">Scotty® bases</a> pre-installed at time of manufacturing to plug and play up to 30 different <a href=""https://strykerboats.com/product-category/stryker-inflatable-boat-accessories/scotty/"" target=""_blank"" rel=""noopener"">Scotty® accessories</a> for all your fishing adventures.
\n
\nThe  PRO 500 inflatable boat features a 20” heavy duty 1 piece reinforced aluminum transom.  The Stryker fully welded aluminum transom removes the most common failure point (wood and plastic 3 piece transoms) found on all other inflatable boats on the market.  The 20"" transom gives you the ability to add a JET outboard for extreme shallow water use or a long shaft prop outboard motor.  This is the perfect inflatable boat for groups of adventure seekers or larger families.
\n
\n6 Air Chambers, 4155lbs weight capacity, maximum 14 people. Heavy duty interlocking aluminum floor system with side stringers.
\n<h3><strong>Motor Recommendations for the Stryker PRO 500:</strong></h3>
\n30-50HP long shaft prop outboard or a 35-40HP JET motor.
\n<h3><strong>Included:</strong></h3>
\nComes fully equipped with military grade wrap around life line and interior grab lines, multiple heavy duty D-ring systems installed throughout,  fuel tank/battery box tie down, heavy duty transom motor mount, towing eyes on bow, with heavy duty D-handle for use with <a href=""https://strykerboats.com/product/stryker-launching-wheels-standard/"" target=""_blank"" rel=""noopener"">Stryker launching wheel system</a>.
\n
\nIncluded in your package: double set of <a href=""https://strykerboats.com/product/stryker-oar-kit/"" target=""_blank"" rel=""noopener"">oars</a>, triple set of <a href=""https://strykerboats.com/product/aluminum-bench-seats/"" target=""_blank"" rel=""noopener"">aluminum seats</a>, 1680 denier <a href=""https://strykerboats.com/product/stryker-easy-load-boat-bag/"" target=""_blank"" rel=""noopener"">boat bag</a>, floor bag, <a href=""https://strykerboats.com/product/stryker-bow-bag/"" target=""_blank"" rel=""noopener"">bow bag</a>, <a href=""https://strykerboats.com/product/essentials-bag/"" target=""_blank"" rel=""noopener"">essential bag</a>, <a href=""https://strykerboats.com/product/stryker-smart-cargo-bag-bench-cushion/"" target=""_blank"" rel=""noopener"">smart cargo bag bench cushion</a>, <a href=""https://strykerboats.com/product/repair-kit5x6/"" target=""_blank"" rel=""noopener"">repair kit</a> and <a href=""https://strykerboats.com/product/high-pressure-foot-pump/"" target=""_blank"" rel=""noopener"">foot pump</a>.  As an added bonus, a <a href=""https://strykerboats.com/product/stryker-sunshade-bimini/"" target=""_blank"" rel=""noopener"">sun shade bimini top</a> and 2 <a href=""https://strykerboats.com/product/scotty-bait-caster-rod-holder-w-mount/"" target=""_blank"" rel=""noopener"">Scotty® baitcasters</a> fishing rod holders.
\n
\nThis Stryker Inflatable Boat package comes in 2 bags, 1 for your boat and 1 for your aluminum floor system.
\n<ul>
\n 	<li>Dimensions of boat in bag: 56 x 31 x 16""</li>
\n 	<li>Dimensions of aluminum floor in bag: 47 x 30 x 7""</li>
\n</ul>
\nThis inflatable boat is commonly paired and recommended with our <a href=""https://strykerboats.com/product/boat-trailer-soft-hull-stryker-edition/"" target=""_blank"" rel=""noopener"">custom Road Runner Stryker Boat Trailer</a> and various console options.  Available in Storm Grey.  <a href=""https://strykerboats.com/warranty/""> </a>
\n
\n<a href=""https://strykerboats.com/warranty/"" target=""_blank"" rel=""noopener"">Stryker Boats 5 year manufacturer warranty</a>.",,,taxable,,1,,,0,0,140160,,,,1,,,,"Boats, Boats > Stryker PRO Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2023/12/Website-Cover-PRO-500-6.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-01.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-02.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-03.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-04.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-05.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-06.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-07.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-08.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-09.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-10.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-11.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-12.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-13.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-14.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-4-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-500-Black-Teak-15.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-211-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-17-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-11-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-7-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-13-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-16-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-19-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-18-15-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-21-scaled.jpg, https://strykerboats.com/wp-content/uploads/2019/04/PRO-18-scaled.jpg",,,,,"id:347, id:348, id:1853",,,,111,color,"Blacked Out, Storm Grey",1,1,flooring,"Airmat, Grey EVA, Tan EVA",1,1,,,,,,,,,,,,,,,
308,variable,T1600,"Boat Trailer - Rigid Hull (Stryker Edition)",1,0,visible,"**** NOTE **** TRAILERS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****
\n
\nWe have teamed up with RoadRunner Trailers and developed the perfect trailer for our inflatable boats. We add a keel bunk as well as a front bow pad. Each trailer comes standard with tongue jack.
\n<ul>
\n 	<li><strong>Trailer Type:</strong> Bunk Trailer</li>
\n 	<li><strong>Axle:</strong> Single Axle</li>
\n 	<li><strong>Boat Length:</strong> 13'- 15'</li>
\n 	<li><strong>Overall Width:</strong> 74""</li>
\n 	<li><strong>Weight:</strong></li>
\n 	<li><strong>GVWR:</strong> 1350lbs</li>
\n 	<li>Heavy duty construction, 5-year warranty. Made In Canada.</li>
\n</ul>","**** NOTE **** TRAILERS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****
\n
\nWe have teamed up with RoadRunner Trailers and developed the perfect trailer for our inflatable boats. We add a keel bunk as well as a front bow pad. Each trailer comes standard with tongue jack.
\n<ul>
\n 	<li><strong>Trailer Type:</strong> Bunk Trailer</li>
\n 	<li><strong>Axle:</strong> Single Axle</li>
\n 	<li><strong>Boat Length:</strong> 13'- 15'</li>
\n 	<li><strong>Overall Width:</strong> 74""</li>
\n 	<li><strong>Weight:</strong></li>
